date,minute,stock_id,open,high,low,close,volume
2025-09-17,09:40:00,2329,48.05,48.05,48.05,48.05,50
2025-09-17,09:41:00,2329,48.05,48.05,48.05,48.05,36
2025-09-17,09:42:00,2329,48.05,48.05,48.05,48.05,65
2025-09-17,09:43:00,2329,48.05,48.05,48.05,48.05,39
2025-09-17,09:44:00,2329,48.05,48.05,48.05,48.05,25
2025-09-17,09:45:00,2329,48.05,48.05,48.05,48.05,22
2025-09-17,09:46:00,2329,48.05,48.05,48.05,48.05,27
2025-09-17,09:47:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,09:48:00,2329,48.05,48.05,48.05,48.05,27
2025-09-17,09:49:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,09:50:00,2329,48.05,48.05,48.05,48.05,36
2025-09-17,09:51:00,2329,48.05,48.05,48.05,48.05,25
2025-09-17,09:52:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,09:53:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,09:54:00,2329,48.05,48.05,48.05,48.05,33
2025-09-17,09:55:00,2329,48.05,48.05,48.05,48.05,31
2025-09-17,09:56:00,2329,48.05,48.05,48.05,48.05,25
2025-09-17,09:57:00,2329,48.05,48.05,48.05,48.05,17
2025-09-17,09:58:00,2329,48.05,48.05,48.05,48.05,38
2025-09-17,09:59:00,2329,48.05,48.05,48.05,48.05,51
2025-09-17,10:00:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,10:01:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,10:02:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,10:03:00,2329,48.05,48.05,48.05,48.05,14
2025-09-17,10:04:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,10:05:00,2329,48.05,48.05,48.05,48.05,20
2025-09-17,10:06:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,10:07:00,2329,48.05,48.05,48.05,48.05,29
2025-09-17,10:08:00,2329,48.05,48.05,48.05,48.05,13
2025-09-17,10:09:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,10:10:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,10:11:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,10:12:00,2329,48.05,48.05,48.05,48.05,13
2025-09-17,10:13:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,10:14:00,2329,48.05,48.05,48.05,48.05,23
2025-09-17,10:15:00,2329,48.05,48.05,48.05,48.05,15
2025-09-17,10:16:00,2329,48.05,48.05,48.05,48.05,21
2025-09-17,10:17:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,10:18:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,10:19:00,2329,48.05,48.05,48.05,48.05,132
2025-09-17,10:20:00,2329,48.05,48.05,48.05,48.05,20
2025-09-17,10:21:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,10:22:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,10:23:00,2329,48.05,48.05,48.05,48.05,17
2025-09-17,10:24:00,2329,48.05,48.05,48.05,48.05,24
2025-09-17,10:25:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,10:26:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,10:27:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,10:28:00,2329,48.05,48.05,48.05,48.05,19
2025-09-17,10:29:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,10:30:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,10:31:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,10:32:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,10:33:00,2329,48.05,48.05,48.05,48.05,33
2025-09-17,10:34:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,10:35:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,10:36:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,10:37:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,10:38:00,2329,48.05,48.05,48.05,48.05,21
2025-09-17,10:39:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,10:40:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,10:41:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,10:42:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,10:43:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,10:44:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,10:45:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,10:46:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,10:47:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,10:48:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,10:49:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,10:50:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,10:51:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,10:52:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,10:53:00,2329,48.05,48.05,48.05,48.05,19
2025-09-17,10:54:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,10:55:00,2329,48.05,48.05,48.05,48.05,19
2025-09-17,10:56:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,10:57:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,10:58:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,10:59:00,2329,48.05,48.05,48.05,48.05,32
2025-09-17,11:00:00,2329,48.05,48.05,48.05,48.05,55
2025-09-17,11:01:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:02:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,11:03:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,11:04:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,11:05:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:07:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,11:08:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,11:09:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,11:10:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:11:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:12:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,11:13:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:14:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,11:15:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,11:16:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,11:17:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,11:19:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:20:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,11:21:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,11:22:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:23:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:25:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:26:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,11:27:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,11:28:00,2329,48.05,48.05,48.05,48.05,23
2025-09-17,11:29:00,2329,48.05,48.05,48.05,48.05,12
2025-09-17,11:30:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:31:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,11:32:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,11:33:00,2329,48.05,48.05,48.05,48.05,18
2025-09-17,11:34:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,11:35:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:36:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,11:37:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:38:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:39:00,2329,48.05,48.05,48.05,48.05,22
2025-09-17,11:40:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:41:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,11:42:00,2329,48.05,48.05,48.05,48.05,12
2025-09-17,11:43:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,11:44:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,11:45:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,11:46:00,2329,48.05,48.05,48.05,48.05,13
2025-09-17,11:47:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,11:48:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:49:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:50:00,2329,48.05,48.05,48.05,48.05,22
2025-09-17,11:51:00,2329,48.05,48.05,48.05,48.05,22
2025-09-17,11:52:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,11:53:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,11:54:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:55:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:56:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,11:57:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,11:58:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,11:59:00,2329,48.05,48.05,48.05,48.05,16
2025-09-17,12:00:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,12:01:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:02:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:03:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,12:05:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,12:06:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,12:07:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:08:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,12:09:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:10:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,12:11:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,12:12:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:13:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:14:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:15:00,2329,48.05,48.05,48.05,48.05,14
2025-09-17,12:16:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:17:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:18:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:19:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:20:00,2329,48.05,48.05,48.05,48.05,17
2025-09-17,12:21:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,12:22:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:24:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:25:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:26:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:27:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:28:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,12:29:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:30:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:31:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:32:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:33:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:34:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:35:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:36:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:37:00,2329,48.05,48.05,48.05,48.05,13
2025-09-17,12:38:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:39:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,12:40:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:41:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:42:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:43:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,12:44:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,12:45:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,12:46:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,12:47:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,12:48:00,2329,48.05,48.05,48.05,48.05,20
2025-09-17,12:49:00,2329,48.05,48.05,48.05,48.05,5
2025-09-17,12:50:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,12:51:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:52:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,12:53:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:54:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,12:55:00,2329,48.05,48.05,48.05,48.05,8
2025-09-17,12:56:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:57:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,12:58:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,12:59:00,2329,48.05,48.05,48.05,48.05,39
2025-09-17,13:00:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,13:01:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,13:02:00,2329,48.05,48.05,48.05,48.05,79
2025-09-17,13:03:00,2329,48.05,48.05,48.05,48.05,6
2025-09-17,13:05:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,13:06:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,13:07:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,13:08:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,13:09:00,2329,48.05,48.05,48.05,48.05,1
2025-09-17,13:10:00,2329,48.05,48.05,48.05,48.05,59
2025-09-17,13:11:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,13:12:00,2329,48.05,48.05,48.05,48.05,7
2025-09-17,13:13:00,2329,48.05,48.05,48.05,48.05,3
2025-09-17,13:15:00,2329,48.05,48.05,48.05,48.05,9
2025-09-17,13:16:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,13:17:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,13:18:00,2329,48.05,48.05,48.05,48.05,23
2025-09-17,13:19:00,2329,48.05,48.05,48.05,48.05,2
2025-09-17,13:20:00,2329,48.05,48.05,48.05,48.05,11
2025-09-17,13:21:00,2329,48.05,48.05,48.05,48.05,10
2025-09-17,13:22:00,2329,48.05,48.05,48.05,48.05,15
2025-09-17,13:23:00,2329,48.05,48.05,48.05,48.05,4
2025-09-17,13:24:00,2329,48.05,48.05,48.05,48.05,13
2025-09-17,13:30:00,2329,48.05,48.05,48.05,48.05,55
