ticker,signal_date,scenario,suffocation_date,suffocation_vol,suffocation_vol_ratio,breakout_close,breakout_vol,breakout_bar_type,ma20,ma20_slope,ideal_ma_align,stop_loss
1597,2026-05-15,A,2026-05-14,1210759.0,0.07201793252521575,179.5,1396454,red,148.2,0.1371134811632011,True,178.0
4111,2026-05-15,A,2026-05-14,44293.0,0.059903166037786885,30.15,124024,green_long_lower_shadow,29.635,0.006025630145124472,True,30.0
2233,2026-05-15,A,2026-05-14,523046.0,0.08300384656461741,295.0,780964,red,276.725,0.06463402904684057,False,283.5
2426,2026-05-15,A,2026-05-14,1228408.0,0.019142952055554593,61.9,2632121,red,60.775,0.06913536810625365,False,61.0
4562,2026-05-15,A,2026-05-14,400100.0,0.080667843450753,39.05,3602704,red,35.8825,0.022147842187722366,False,35.75
4711,2026-05-15,A,2026-05-14,75449.0,0.020597873135622072,16.85,186329,red,16.192500000000003,0.020482117535843836,False,16.5
4908,2026-05-15,A,2026-05-14,440851.0,0.04800719676176212,242.5,686169,green_long_lower_shadow,212.225,0.12526511134676555,False,236.0
5210,2026-05-15,A,2026-05-14,135010.0,0.07511355215164915,25.9,305995,red,24.78,0.037797089310019905,False,25.5
1623,2026-05-15,B,2026-05-14,196490.0,0.0825168023678698,229.5,431066,red,238.45,0.048708081363386446,False,222.0
2740,2026-05-15,B,2026-05-14,1302.0,0.026764240343700535,37.2,7100,green_long_lower_shadow,40.1175,0.017952296371479326,False,33.9
