actual_slug,n,hits,hit_rate_pct
bear_engulfing,1,True,100.0
rising_falling,3,3,100.0
rebound,2,2,100.0
piercing_line,3,3,100.0
outside_three_black,1,True,100.0
neutral_engulfing,4,4,100.0
morning_star_harami,1,True,100.0
meeting,4,4,100.0
high_hanging_man,1,True,100.0
gap_under_pressure_reversal,1,True,100.0
gap_reversal,2,2,100.0
gap_fill_up,1,True,100.0
gap_fill_down,2,2,100.0
embracing,3,3,100.0
dark_double_star_anye,4,4,100.0
biting,3,3,100.0
three_red_dadi_dangqian,1,True,100.0
trapped,2,2,100.0
